node,role,category,footfall
0,anchor,similar,172
1,tenant,similar,163
2,tenant,different,51
3,tenant,different,79
4,tenant,different,5
5,tenant,similar,19
6,tenant,similar,15
7,tenant,different,52
8,tenant,different,58
9,tenant,similar,40
10,tenant,similar,189
11,tenant,different,0
12,tenant,similar,0
13,tenant,similar,1
14,tenant,different,16
15,tenant,similar,42
16,tenant,similar,20
17,tenant,different,46
18,tenant,different,93
19,tenant,similar,39
