node,role,category,footfall
0,tenant,different,3
1,tenant,different,4
2,tenant,different,1
3,tenant,similar,4
4,tenant,similar,2
5,tenant,different,0
6,tenant,different,4
7,tenant,similar,9
8,tenant,similar,26
9,anchor,similar,70
10,tenant,different,11
11,tenant,similar,2
12,tenant,similar,6
13,tenant,different,1
14,tenant,similar,9
15,tenant,similar,16
16,tenant,different,7
17,tenant,different,11
18,tenant,similar,10
19,tenant,similar,24
