node,role,category,footfall
0,anchor,similar,337
1,tenant,similar,885
2,tenant,different,628
3,tenant,different,738
4,tenant,different,252
5,tenant,similar,370
6,tenant,similar,637
7,tenant,different,381
8,tenant,different,886
9,tenant,similar,256
10,tenant,similar,1177
11,tenant,different,328
12,tenant,similar,282
13,tenant,similar,139
14,tenant,different,226
15,tenant,similar,422
16,tenant,similar,325
17,tenant,different,690
18,tenant,different,653
19,tenant,similar,588
